Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"1308/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147331796,545000,575000,Apartment,1,2,1,Adelaide,-34.9271573,138.5928691,87b91682effffff
"520/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146944436,170000,180000,Apartment,1,1,0,Adelaide,-34.92638075,138.58763085,87b91682affffff
"419/185 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146917904,520000,550000,Apartment,1,2,1,Adelaide,-34.92181902377455,138.5932700139091,87b91682affffff
"716/160 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146931656,695000,735000,Apartment,1,2,2,Adelaide,-34.9291861,138.58784885,87b91682effffff
"422/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146276800,165000,180000,Apartment,1,1,0,Adelaide,-34.92638075,138.58763085,87b91682affffff
"245 Gilbert Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147048280,1225000,1315000,House,3,3,2,Adelaide,-34.93429185481178,138.60037249793103,87b91682effffff
"309/23 King William Street, Adelaide",https://www.realestate.com.au/property-studio-sa-adelaide-147185940,215000,235000,Studio,1,1,0,Adelaide,-34.92245830209435,138.59939842220888,87b91682effffff
"4 Southcott Walk, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147144356,1550000,1650000,Townhouse,2,3,2,Adelaide,-34.93329187914973,138.61038318939907,87b91682effffff
"311/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147182908,530000,550000,Apartment,1,2,0,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"403/12 Tapley Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147044756,950000,950000,Apartment,2,3,1,Adelaide,-34.93402029852484,138.5994702681089,87b91682effffff
"101/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146110972,485000,525000,Apartment,1,2,0,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"610/104 North Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147309648,350000,370000,Apartment,1,1,0,Adelaide,-34.9159473,138.62216375000003,87b916805ffffff
