"SourceIndex","DestinationIndex","CityCode","DurationCycle","DurationDrive","DurationTransit","DurationWalk"
"87b916872ffffff","87b916919ffffff","Adelaide","5120","2683","11509","20348"
"87b916872ffffff","87b916952ffffff","Adelaide","2946","1552","3906","12671"
"87b916872ffffff","87b916953ffffff","Adelaide","2712","1297","6002","11428"
"87b916872ffffff","87b91695effffff","Adelaide","2506","1143","5264","9908"
"87b91681dffffff","87b916800ffffff","Adelaide","1585","744","4142","5640"
"87b91681dffffff","87b916801ffffff","Adelaide","1109","576","1228","4302"
"87b91681dffffff","87b916802ffffff","Adelaide","1519","653","3887","4873"
"87b91681dffffff","87b916803ffffff","Adelaide","1000","392","3062","3062"
"87b91681dffffff","87b916804ffffff","Adelaide","2136","950","4630","7952"
"87b91681dffffff","87b916805ffffff","Adelaide","1832","884","3131","6756"
"87b91681dffffff","87b916806ffffff","Adelaide","2102","996","6187","7495"
"87b91681dffffff","87b916808ffffff","Adelaide","1450","705","3180","5457"
"87b91681dffffff","87b916809ffffff","Adelaide","2253","942","4053","7680"
"87b91681dffffff","87b91680affffff","Adelaide","1412","480","2866","2866"
"87b91681dffffff","87b91680bffffff","Adelaide","1655","657","4470","5181"
"87b91681dffffff","87b91680cffffff","Adelaide","1522","809","3731","5824"
"87b91681dffffff","87b91680dffffff","Adelaide","2102","1052","3992","7707"
"87b91681dffffff","87b91680effffff","Adelaide","761","408","2850","2850"
"87b91681dffffff","87b916811ffffff","Adelaide","1711","751","6432","5028"
"87b91681dffffff","87b916815ffffff","Adelaide","2303","828","5292","7306"
"87b91681dffffff","87b91681cffffff","Adelaide","1029","443","2863","2863"
"87b91681dffffff","87b916820ffffff","Adelaide","3438","1404","4226","12079"
"87b91681dffffff","87b916821ffffff","Adelaide","2867","1385","3309","10803"
"87b91681dffffff","87b916822ffffff","Adelaide","2843","1311","4617","10832"
"87b91681dffffff","87b916823ffffff","Adelaide","2484","1156","4172","9416"
"87b91681dffffff","87b916824ffffff","Adelaide","4412","1727","3938","15018"
"87b91681dffffff","87b916825ffffff","Adelaide","3624","1533","4468","13488"
"87b91681dffffff","87b916826ffffff","Adelaide","4459","1614","7183","14622"
"87b91681dffffff","87b916828ffffff","Adelaide","2263","1259","3405","9010"
"87b91681dffffff","87b916829ffffff","Adelaide","2980","1408","3552","11356"
"87b91681dffffff","87b91682affffff","Adelaide","1708","808","2851","6746"
"87b91681dffffff","87b91682bffffff","Adelaide","2160","896","5163","8271"
"87b91681dffffff","87b91682cffffff","Adelaide","2803","1441","2409","10556"
"87b91681dffffff","87b91682dffffff","Adelaide","2920","1361","3218","11317"
"87b91681dffffff","87b91682effffff","Adelaide","2224","1309","3445","8187"
"87b91681dffffff","87b916831ffffff","Adelaide","2938","1242","5367","9989"
"87b91681dffffff","87b916833ffffff","Adelaide","2810","1138","6313","9904"
"87b91681dffffff","87b916835ffffff","Adelaide","3837","1566","5945","13305"
"87b91681dffffff","87b916856ffffff","Adelaide","2133","870","4777","7334"
"87b91681dffffff","87b916872ffffff","Adelaide","2678","1186","4580","9999"
"87b91681dffffff","87b916874ffffff","Adelaide","3401","1425","4637","13081"
"87b91681dffffff","87b916876ffffff","Adelaide","2734","1246","5525","10296"
"87b91681dffffff","87b916919ffffff","Adelaide","6220","2301","9946","19725"
"87b91681dffffff","87b916952ffffff","Adelaide","3214","1679","4322","12189"
"87b91681dffffff","87b916953ffffff","Adelaide","3405","1420","3513","13099"
"87b91681dffffff","87b916958ffffff","Adelaide","3822","1752","3517","15117"
"87b91681dffffff","87b91695affffff","Adelaide","3432","1575","5223","13265"
"87b91681dffffff","87b91695bffffff","Adelaide","4089","1780","5791","16044"
"87b91681dffffff","87b91695effffff","Adelaide","3493","1602","5676","13711"
"87b916800ffffff","87b916802ffffff","Adelaide","715","365","2696","2696"
"87b916800ffffff","87b916803ffffff","Adelaide","842","505","3089","3089"
"87b916800ffffff","87b916804ffffff","Adelaide","678","331","2766","2766"
"87b916800ffffff","87b916806ffffff","Adelaide","667","391","2726","2725"
"87b916800ffffff","87b916808ffffff","Adelaide","2046","984","3524","6997"
"87b916800ffffff","87b916809ffffff","Adelaide","3125","1363","4397","9362"
"87b916800ffffff","87b91680affffff","Adelaide","2008","923","3476","7702"
"87b916800ffffff","87b91680bffffff","Adelaide","2699","1259","4814","9293"
"87b916800ffffff","87b91680effffff","Adelaide","1459","778","2901","4870"
"87b916800ffffff","87b916811ffffff","Adelaide","1451","681","2865","5229"
"87b916800ffffff","87b916815ffffff","Adelaide","1053","639","1641","4089"
"87b916800ffffff","87b91681cffffff","Adelaide","934","585","1659","4198"
"87b916800ffffff","87b91681dffffff","Adelaide","1585","744","4142","5640"
"87b916800ffffff","87b916820ffffff","Adelaide","1386","873","2052","6484"
"87b916800ffffff","87b916821ffffff","Adelaide","2013","983","4653","6864"
"87b916800ffffff","87b916822ffffff","Adelaide","1148","699","3758","5278"
"87b916800ffffff","87b916823ffffff","Adelaide","1378","701","3448","4600"
"87b916800ffffff","87b916824ffffff","Adelaide","2196","1023","4268","9090"
"87b916800ffffff","87b916825ffffff","Adelaide","2475","1088","3788","8793"
"87b916800ffffff","87b916826ffffff","Adelaide","1689","1002","5596","8188"
"87b916800ffffff","87b916828ffffff","Adelaide","2068","1211","4788","6969"
"87b916800ffffff","87b91682cffffff","Adelaide","2403","1243","3973","7679"
"87b916800ffffff","87b91682dffffff","Adelaide","2811","1373","5707","9324"
"87b916800ffffff","87b91682effffff","Adelaide","1801","1023","4650","5239"
"87b916800ffffff","87b916831ffffff","Adelaide","1251","613","3530","4557"
"87b916800ffffff","87b916833ffffff","Adelaide","1190","623","4228","4904"
"87b916800ffffff","87b916835ffffff","Adelaide","1477","911","5256","7186"
"87b916800ffffff","87b916856ffffff","Adelaide","3580","1477","3948","10772"
"87b916800ffffff","87b916919ffffff","Adelaide","3090","1687","10059","12730"
"87b916800ffffff","87b916952ffffff","Adelaide","2540","1258","3464","9205"
"87b916800ffffff","87b916953ffffff","Adelaide","2881","1462","5444","10306"
"87b916800ffffff","87b91695effffff","Adelaide","3495","1655","4900","11609"
"87b916822ffffff","87b916800ffffff","Adelaide","1148","699","3758","5278"
"87b916822ffffff","87b916801ffffff","Adelaide","1561","992","4023","6542"
"87b916822ffffff","87b916802ffffff","Adelaide","1798","873","4584","6861"
"87b916822ffffff","87b916803ffffff","Adelaide","2139","1059","3914","8366"
