source,destination,duration
"[""87be4925bffffff"", ""87be492e8ffffff"", ""driving""]",990.3
"[""87be4925bffffff"", ""87be492ebffffff"", ""driving""]",800.4
"[""87be4925bffffff"", ""87be492cdffffff"", ""driving""]",1196
"[""87be4925bffffff"", ""87b9145b2ffffff"", ""driving""]",918.6
"[""87be4925bffffff"", ""87b9145b3ffffff"", ""driving""]",1106.8
"[""87be4925bffffff"", ""87b914586ffffff"", ""driving""]",1133.4
"[""87be4925bffffff"", ""87b914584ffffff"", ""driving""]",849.5
"[""87be4925bffffff"", ""87b9145a3ffffff"", ""driving""]",814
"[""87be4925bffffff"", ""87b9145a1ffffff"", ""driving""]",1042.7
"[""87be4925bffffff"", ""87b9145a5ffffff"", ""driving""]",876
"[""87be4925bffffff"", ""87be4924bffffff"", ""driving""]",967
"[""87be4925bffffff"", ""87be49248ffffff"", ""driving""]",1126.4
"[""87be4925bffffff"", ""87be4924effffff"", ""driving""]",1247.2
"[""87be4925bffffff"", ""87be49243ffffff"", ""driving""]",1027.5
"[""87b914595ffffff"", ""87b914594ffffff"", ""driving""]",490.7
"[""87b914595ffffff"", ""87b914590ffffff"", ""driving""]",343.6
"[""87b914595ffffff"", ""87b914591ffffff"", ""driving""]",391.9
"[""87b914595ffffff"", ""87b914582ffffff"", ""driving""]",579.1
"[""87b914595ffffff"", ""87b914586ffffff"", ""driving""]",448.5
"[""87b914595ffffff"", ""87b9145b3ffffff"", ""driving""]",1476.1
"[""87b914595ffffff"", ""87b9145b2ffffff"", ""driving""]",1287.9
"[""87b914595ffffff"", ""87be492c9ffffff"", ""driving""]",1854.7
"[""87b914595ffffff"", ""87b914596ffffff"", ""driving""]",421.9
"[""87b914595ffffff"", ""87b914592ffffff"", ""driving""]",532.4
"[""87b914595ffffff"", ""87b914593ffffff"", ""driving""]",518.8
"[""87b914595ffffff"", ""87b91459effffff"", ""driving""]",693.9
"[""87b914595ffffff"", ""87b91459cffffff"", ""driving""]",440.6
"[""87b914595ffffff"", ""87b914583ffffff"", ""driving""]",614.1
"[""87b914595ffffff"", ""87b914580ffffff"", ""driving""]",500.6
"[""87b914595ffffff"", ""87b914584ffffff"", ""driving""]",573.2
"[""87b914595ffffff"", ""87b9145b1ffffff"", ""driving""]",585
"[""87b914595ffffff"", ""87b9145b0ffffff"", ""driving""]",1011.3
"[""87b914595ffffff"", ""87b9145b6ffffff"", ""driving""]",1184.3
"[""87b914595ffffff"", ""87be492cdffffff"", ""driving""]",1579.3
"[""87b914595ffffff"", ""87be492c8ffffff"", ""driving""]",2000.7
"[""87b914595ffffff"", ""87be492cbffffff"", ""driving""]",873.4
"[""87b914595ffffff"", ""87b916965ffffff"", ""driving""]",739.9
"[""87b914595ffffff"", ""87b916961ffffff"", ""driving""]",646.1
"[""87b914595ffffff"", ""87b91696cffffff"", ""driving""]",490.1
"[""87b914595ffffff"", ""87b91696dffffff"", ""driving""]",1385.5
"[""87b914595ffffff"", ""87b91459affffff"", ""driving""]",1173.9
"[""87b914595ffffff"", ""87b914598ffffff"", ""driving""]",765.8
"[""87b914595ffffff"", ""87b914585ffffff"", ""driving""]",610.2
"[""87b914595ffffff"", ""87b9145a3ffffff"", ""driving""]",711.8
"[""87b914595ffffff"", ""87b9145a2ffffff"", ""driving""]",571.9
"[""87b914595ffffff"", ""87b9145b5ffffff"", ""driving""]",717.8
"[""87b914595ffffff"", ""87b9145b4ffffff"", ""driving""]",931.2
"[""87b916d4bffffff"", ""87b916d4affffff"", ""driving""]",524.4
"[""87b916d4bffffff"", ""87b916c64ffffff"", ""driving""]",1427.3
"[""87b916d4bffffff"", ""87b916c65ffffff"", ""driving""]",524.4
"[""87b916d4bffffff"", ""87b916896ffffff"", ""driving""]",950.7
"[""87b916d4bffffff"", ""87b916d49ffffff"", ""driving""]",520.6
"[""87b916d4bffffff"", ""87b916d48ffffff"", ""driving""]",1145.7
"[""87b916d4bffffff"", ""87b916c60ffffff"", ""driving""]",1458.3
"[""87b916d4bffffff"", ""87b916c61ffffff"", ""driving""]",972.7
"[""87b916d4bffffff"", ""87b916892ffffff"", ""driving""]",752.5
"[""87b916d4bffffff"", ""87b916890ffffff"", ""driving""]",672.7
"[""87b916d4bffffff"", ""87b916894ffffff"", ""driving""]",507.5
"[""87b916d4bffffff"", ""87b9168b2ffffff"", ""driving""]",686.8
"[""87b916d4bffffff"", ""87b916d4dffffff"", ""driving""]",863.4
"[""87b916d4bffffff"", ""87b916c63ffffff"", ""driving""]",2043.6
"[""87b916d4bffffff"", ""87b916c6effffff"", ""driving""]",1019.1
"[""87b916d4bffffff"", ""87b916c6cffffff"", ""driving""]",1161.1
"[""87b916d4bffffff"", ""87b916893ffffff"", ""driving""]",1014.7
"[""87b916d4bffffff"", ""87b916891ffffff"", ""driving""]",799.9
"[""87b916d4bffffff"", ""87b916895ffffff"", ""driving""]",699.5
"[""87b916d4bffffff"", ""87b9168b3ffffff"", ""driving""]",897.8
"[""87b916d4bffffff"", ""87b9168b0ffffff"", ""driving""]",688.6
"[""87b916d4bffffff"", ""87b9168b6ffffff"", ""driving""]",1749.4
"[""87b916c4cffffff"", ""87b916c41ffffff"", ""driving""]",391.1
"[""87b916c4cffffff"", ""87b916c4effffff"", ""driving""]",322.7
"[""87b916c4cffffff"", ""87b916c4dffffff"", ""driving""]",611.9
"[""87b916c4cffffff"", ""87b916c6bffffff"", ""driving""]",539.1
"[""87b916c4cffffff"", ""87b916c6affffff"", ""driving""]",459.8
"[""87b916c4cffffff"", ""87b916c45ffffff"", ""driving""]",741.7
"[""87b916c4cffffff"", ""87b916132ffffff"", ""driving""]",814.6
"[""87b916c4cffffff"", ""87b916136ffffff"", ""driving""]",874.6
"[""87b916c4cffffff"", ""87b916c69ffffff"", ""driving""]",718.4
"[""87b916c4cffffff"", ""87b916c68ffffff"", ""driving""]",703.2
"[""87b916c4cffffff"", ""87b916c6effffff"", ""driving""]",624
"[""87b916c4cffffff"", ""87b916c63ffffff"", ""driving""]",1125.6
"[""87b916c4cffffff"", ""87b916133ffffff"", ""driving""]",869.6
"[""87b916c4cffffff"", ""87b916130ffffff"", ""driving""]",969.6
"[""87b916c4cffffff"", ""87b916134ffffff"", ""driving""]",784.4
"[""87b916c4cffffff"", ""87b91689affffff"", ""driving""]",902.1
"[""87b916c4cffffff"", ""87b916c6dffffff"", ""driving""]",780.9
"[""87b916c4cffffff"", ""87b916c6cffffff"", ""driving""]",1063.5
"[""87b916c4cffffff"", ""87b916c61ffffff"", ""driving""]",806.4
"[""87b916824ffffff"", ""87b916919ffffff"", ""driving""]",1238.4
"[""87b916824ffffff"", ""87b916826ffffff"", ""driving""]",669.1
"[""87b916824ffffff"", ""87b916820ffffff"", ""driving""]",281.1
"[""87b916824ffffff"", ""87b916825ffffff"", ""driving""]",342.8
"[""87b916824ffffff"", ""87b91690bffffff"", ""driving""]",794.3
"[""87b916824ffffff"", ""87b91690affffff"", ""driving""]",684.2
"[""87b916824ffffff"", ""87b91691dffffff"", ""driving""]",488.5
"[""87b916824ffffff"", ""87b916918ffffff"", ""driving""]",681.9
"[""87b916824ffffff"", ""87b91691bffffff"", ""driving""]",939.2
"[""87b916824ffffff"", ""87b916835ffffff"", ""driving""]",858.3
"[""87b916824ffffff"", ""87b916822ffffff"", ""driving""]",610.9
"[""87b916824ffffff"", ""87b916823ffffff"", ""driving""]",566.1
"[""87b916824ffffff"", ""87b916821ffffff"", ""driving""]",450.4
"[""87b916824ffffff"", ""87b916952ffffff"", ""driving""]",577.3
"[""87b916824ffffff"", ""87b916956ffffff"", ""driving""]",721.9
"[""87b916824ffffff"", ""87b916909ffffff"", ""driving""]",861.4
"[""87b916824ffffff"", ""87b916908ffffff"", ""driving""]",1856.2
"[""87b916824ffffff"", ""87b91690effffff"", ""driving""]",487.6
"[""87b916824ffffff"", ""87b916903ffffff"", ""driving""]",488.9
"[""87b916824ffffff"", ""87b91691cffffff"", ""driving""]",642
"[""87b916824ffffff"", ""87b91691effffff"", ""driving""]",887.1
"[""87b916824ffffff"", ""87b91691affffff"", ""driving""]",851.9
"[""87b916824ffffff"", ""87b916834ffffff"", ""driving""]",1120.2
"[""87b916824ffffff"", ""87b916830ffffff"", ""driving""]",1124
"[""87b916824ffffff"", ""87b916831ffffff"", ""driving""]",882.5
"[""87b916824ffffff"", ""87b916804ffffff"", ""driving""]",630.8
"[""87b916824ffffff"", ""87b916805ffffff"", ""driving""]",689
"[""87b916824ffffff"", ""87b91682effffff"", ""driving""]",613.7
"[""87b916824ffffff"", ""87b91682cffffff"", ""driving""]",648.5
"[""87b916824ffffff"", ""87b916953ffffff"", ""driving""]",747.5
"[""87b916824ffffff"", ""87b916950ffffff"", ""driving""]",738.1
"[""87b916824ffffff"", ""87b916954ffffff"", ""driving""]",938.7
"[""87b916824ffffff"", ""87b91690dffffff"", ""driving""]",931.7
"[""87b916824ffffff"", ""87b91690cffffff"", ""driving""]",878.8
"[""87b916824ffffff"", ""87b916901ffffff"", ""driving""]",901.4
"[""87b916946ffffff"", ""87b916973ffffff"", ""driving""]",1194.2
"[""87b916946ffffff"", ""87b916955ffffff"", ""driving""]",579.9
"[""87b916946ffffff"", ""87b916942ffffff"", ""driving""]",482.1
"[""87b916946ffffff"", ""87b916940ffffff"", ""driving""]",585.9
"[""87b916946ffffff"", ""87b916944ffffff"", ""driving""]",845
"[""87b916946ffffff"", ""87b916971ffffff"", ""driving""]",533.7
"[""87b916946ffffff"", ""87b916970ffffff"", ""driving""]",755.2
"[""87b916946ffffff"", ""87b916954ffffff"", ""driving""]",799.2
"[""87b916946ffffff"", ""87b916950ffffff"", ""driving""]",818.1
"[""87b916946ffffff"", ""87b916951ffffff"", ""driving""]",693.5
"[""87b916946ffffff"", ""87b91695cffffff"", ""driving""]",740.6
"[""87b916946ffffff"", ""87b916943ffffff"", ""driving""]",673.4
"[""87b916946ffffff"", ""87b916941ffffff"", ""driving""]",926.2
"[""87b916946ffffff"", ""87b916945ffffff"", ""driving""]",908.6
"[""87b916946ffffff"", ""87b916963ffffff"", ""driving""]",678.7
"[""87b916946ffffff"", ""87b916962ffffff"", ""driving""]",2695.8
"[""87b916946ffffff"", ""87b916975ffffff"", ""driving""]",722.8
"[""87b916946ffffff"", ""87b916974ffffff"", ""driving""]",913.8
"[""87b916946ffffff"", ""87b916976ffffff"", ""driving""]",1121.5
"[""87b916946ffffff"", ""87b91690dffffff"", ""driving""]",1244.4
"[""87b916946ffffff"", ""87b916909ffffff"", ""driving""]",1080.8
"[""87b916946ffffff"", ""87b916956ffffff"", ""driving""]",1019
"[""87b916946ffffff"", ""87b916952ffffff"", ""driving""]",1037.7
"[""87b916946ffffff"", ""87b916953ffffff"", ""driving""]",841.4
"[""87b916946ffffff"", ""87b91695effffff"", ""driving""]",836
"[""87b916946ffffff"", ""87b916958ffffff"", ""driving""]",938.4
"[""87b916946ffffff"", ""87b91695dffffff"", ""driving""]",887.6
"[""87b916946ffffff"", ""87b91694effffff"", ""driving""]",768.5
"[""87b916946ffffff"", ""87b91694cffffff"", ""driving""]",940.7
"[""87b916946ffffff"", ""87b91696affffff"", ""driving""]",1193.8
"[""87b916946ffffff"", ""87b91696effffff"", ""driving""]",1034.9
"[""87b916946ffffff"", ""87b916961ffffff"", ""driving""]",821.1
"[""87b916946ffffff"", ""87b916960ffffff"", ""driving""]",965.9
"[""87b916946ffffff"", ""87b916966ffffff"", ""driving""]",826.5
"[""87b916946ffffff"", ""87be492dbffffff"", ""driving""]",892.1
"[""87b91681bffffff"", ""87b91681affffff"", ""driving""]",457.3
"[""87b91681bffffff"", ""87b9168f4ffffff"", ""driving""]",229.3
"[""87b91681bffffff"", ""87b9168f5ffffff"", ""driving""]",889.3
"[""87b91681bffffff"", ""87b9168e6ffffff"", ""driving""]",773.4
"[""87b91681bffffff"", ""87b916819ffffff"", ""driving""]",763.7
"[""87b91681bffffff"", ""87b916818ffffff"", ""driving""]",537.3
"[""87b91681bffffff"", ""87b91681effffff"", ""driving""]",654.6
"[""87b91681bffffff"", ""87b9168adffffff"", ""driving""]",684.2
"[""87b91681bffffff"", ""87b9168a9ffffff"", ""driving""]",514.3
"[""87b91681bffffff"", ""87b9168f6ffffff"", ""driving""]",477.8
"[""87b91681bffffff"", ""87b9168f0ffffff"", ""driving""]",1936.7
"[""87b91681bffffff"", ""87b9168f1ffffff"", ""driving""]",2255.6
"[""87b91681bffffff"", ""87b9168e2ffffff"", ""driving""]",1212.4
"[""87b91681bffffff"", ""87b9168e0ffffff"", ""driving""]",1131.2
"[""87b91681bffffff"", ""87b9168e4ffffff"", ""driving""]",732.9
"[""87b91681bffffff"", ""87b91680affffff"", ""driving""]",643.1
"[""87b91681bffffff"", ""87b91681dffffff"", ""driving""]",644.6
"[""87b91681bffffff"", ""87b91681cffffff"", ""driving""]",751.2
"[""87b91681bffffff"", ""87b916811ffffff"", ""driving""]",933.2
"[""87b91681bffffff"", ""87b916813ffffff"", ""driving""]",824.8
"[""87b91681bffffff"", ""87b9168acffffff"", ""driving""]",1084.1
"[""87b91681bffffff"", ""87b9168a8ffffff"", ""driving""]",776.1
"[""87b91681bffffff"", ""87b9168abffffff"", ""driving""]",630.8
"[""87b91681bffffff"", ""87b91688dffffff"", ""driving""]",672.8
"[""87b91681bffffff"", ""87b9168f2ffffff"", ""driving""]",527.3
"[""87b91681bffffff"", ""87b9168f3ffffff"", ""driving""]",1777.4
"[""87b91681bffffff"", ""87b9168c6ffffff"", ""driving""]",1301.8
"[""87b91681bffffff"", ""87b9168c4ffffff"", ""driving""]",2060.5
"[""87b91681bffffff"", ""87b9168e3ffffff"", ""driving""]",1572.2
"[""87b91681bffffff"", ""87b9168e1ffffff"", ""driving""]",1077.1
"[""87b91681bffffff"", ""87b9168e5ffffff"", ""driving""]",745.3
"[""87b91681bffffff"", ""87b91680bffffff"", ""driving""]",880
"[""87b91681bffffff"", ""87b916808ffffff"", ""driving""]",942.9
"[""87b91681bffffff"", ""87b91680effffff"", ""driving""]",879.1
"[""87b91681bffffff"", ""87b916803ffffff"", ""driving""]",825.1
"[""87b91681bffffff"", ""87b916802ffffff"", ""driving""]",1024.5
"[""87b916122ffffff"", ""87b916135ffffff"", ""driving""]",422.5
"[""87b916122ffffff"", ""87b916131ffffff"", ""driving""]",310.6
"[""87b916122ffffff"", ""87b916104ffffff"", ""driving""]",696.6
"[""87b916122ffffff"", ""87b916123ffffff"", ""driving""]",128.6
"[""87b916122ffffff"", ""87b916120ffffff"", ""driving""]",287
"[""87b916122ffffff"", ""87b916126ffffff"", ""driving""]",356.8
"[""87b916122ffffff"", ""87b91689bffffff"", ""driving""]",580.3
"[""87b916122ffffff"", ""87b916134ffffff"", ""driving""]",450.6
"[""87b916122ffffff"", ""87b916130ffffff"", ""driving""]",513.7
"[""87b916122ffffff"", ""87b916133ffffff"", ""driving""]",448.2
"[""87b916122ffffff"", ""87b916105ffffff"", ""driving""]",802.4
"[""87b916122ffffff"", ""87b91612effffff"", ""driving""]",257.3
"[""87b916122ffffff"", ""87b916121ffffff"", ""driving""]",398.5
"[""87b916122ffffff"", ""87b916125ffffff"", ""driving""]",565.4
"[""87b916122ffffff"", ""87b916124ffffff"", ""driving""]",461
"[""87b916122ffffff"", ""87b916899ffffff"", ""driving""]",710.3
"[""87b916122ffffff"", ""87b916898ffffff"", ""driving""]",673.2
"[""87b916122ffffff"", ""87b91689affffff"", ""driving""]",827.9
"[""87b916122ffffff"", ""87b916c69ffffff"", ""driving""]",651
"[""87b916122ffffff"", ""87b916136ffffff"", ""driving""]",628.6
"[""87b916122ffffff"", ""87b916132ffffff"", ""driving""]",655.6
"[""87b916122ffffff"", ""87b91612affffff"", ""driving""]",768.5
"[""87b916122ffffff"", ""87b916128ffffff"", ""driving""]",419.8
"[""87b916122ffffff"", ""87b91612cffffff"", ""driving""]",450.3
"[""87b916122ffffff"", ""87b9168d2ffffff"", ""driving""]",628.5
"[""87b916122ffffff"", ""87b9168d6ffffff"", ""driving""]",822.6
"[""87b916122ffffff"", ""87b91688bffffff"", ""driving""]",1017.5
"[""87b916122ffffff"", ""87b91688affffff"", ""driving""]",680.2
"[""87b916122ffffff"", ""87b91689dffffff"", ""driving""]",783
"[""87b916850ffffff"", ""87b916856ffffff"", ""driving""]",379.7
"[""87b916850ffffff"", ""87b916852ffffff"", ""driving""]",324.5
"[""87b916850ffffff"", ""87b916853ffffff"", ""driving""]",223.8
"[""87b916850ffffff"", ""87b916851ffffff"", ""driving""]",92.7
"[""87b916850ffffff"", ""87b916855ffffff"", ""driving""]",205.9
"[""87b916850ffffff"", ""87b916854ffffff"", ""driving""]",264.5
"[""87b916850ffffff"", ""87b916809ffffff"", ""driving""]",511.9
"[""87b916850ffffff"", ""87b91680bffffff"", ""driving""]",609.2
"[""87b916850ffffff"", ""87b9168e5ffffff"", ""driving""]",532.8
"[""87b916850ffffff"", ""87b9168e1ffffff"", ""driving""]",532.9
"[""87b916850ffffff"", ""87b9168ecffffff"", ""driving""]",440.6
"[""87b916850ffffff"", ""87b9168edffffff"", ""driving""]",319.9
"[""87b916850ffffff"", ""87b91685effffff"", ""driving""]",233.8
"[""87b916850ffffff"", ""87b916842ffffff"", ""driving""]",242.6
"[""87b916850ffffff"", ""87b916846ffffff"", ""driving""]",461.9
"[""87b916850ffffff"", ""87b916872ffffff"", ""driving""]",547.1
"[""87b916850ffffff"", ""87b91680dffffff"", ""driving""]",784.2
"[""87b916850ffffff"", ""87b916808ffffff"", ""driving""]",797.9
"[""87b916850ffffff"", ""87b91680affffff"", ""driving""]",741.8
"[""87b916850ffffff"", ""87b9168e4ffffff"", ""driving""]",771.2
"[""87b916850ffffff"", ""87b9168e0ffffff"", ""driving""]",849.8
"[""87b916850ffffff"", ""87b9168e3ffffff"", ""driving""]",1290.8
"[""87b916850ffffff"", ""87b9168eeffffff"", ""driving""]",630.9
"[""87b916850ffffff"", ""87b9168e8ffffff"", ""driving""]",696.9
"[""87b916850ffffff"", ""87b9168e9ffffff"", ""driving""]",696.9
"[""87b916850ffffff"", ""87b916844ffffff"", ""driving""]",646
"[""87b916850ffffff"", ""87b916871ffffff"", ""driving""]",614.5
"[""87b916850ffffff"", ""87b916870ffffff"", ""driving""]",674.8
"[""87b916850ffffff"", ""87b916876ffffff"", ""driving""]",843.8
"[""87b9168a8ffffff"", ""87b9168aeffffff"", ""driving""]",398.7
"[""87b9168a8ffffff"", ""87b9168aaffffff"", ""driving""]",258
"[""87b9168a8ffffff"", ""87b9168abffffff"", ""driving""]",368.7
"[""87b9168a8ffffff"", ""87b9168a9ffffff"", ""driving""]",402.1
"[""87b9168a8ffffff"", ""87b9168adffffff"", ""driving""]",318.7
"[""87b9168a8ffffff"", ""87b9168acffffff"", ""driving""]",522
"[""87b9168a8ffffff"", ""87b9168a1ffffff"", ""driving""]",591.1
"[""87b9168a8ffffff"", ""87b9168a3ffffff"", ""driving""]",631.6
"[""87b9168a8ffffff"", ""87b916885ffffff"", ""driving""]",598.7
"[""87b9168a8ffffff"", ""87b916881ffffff"", ""driving""]",460.3
"[""87b9168a8ffffff"", ""87b91688cffffff"", ""driving""]",583.9
"[""87b9168a8ffffff"", ""87b91688dffffff"", ""driving""]",557
"[""87b9168a8ffffff"", ""87b9168f6ffffff"", ""driving""]",493
"[""87b9168a8ffffff"", ""87b9168f4ffffff"", ""driving""]",600.2
"[""87b9168a8ffffff"", ""87b91681affffff"", ""driving""]",418.4
"[""87b9168a8ffffff"", ""87b91681effffff"", ""driving""]",499.7
"[""87b9168a8ffffff"", ""87b916813ffffff"", ""driving""]",444.9
"[""87b9168a8ffffff"", ""87b916812ffffff"", ""driving""]",568.6
"[""87b9168a8ffffff"", ""87b9168a5ffffff"", ""driving""]",770.2
"[""87b9168a8ffffff"", ""87b9168a0ffffff"", ""driving""]",815.1
"[""87b9168a8ffffff"", ""87b9168a2ffffff"", ""driving""]",948.6
"[""87b9168a8ffffff"", ""87b916884ffffff"", ""driving""]",1154.4
"[""87b9168a8ffffff"", ""87b916880ffffff"", ""driving""]",506.8
"[""87b9168a8ffffff"", ""87b916883ffffff"", ""driving""]",644.3
"[""87b9168a8ffffff"", ""87b91688effffff"", ""driving""]",616.3
"[""87b9168a8ffffff"", ""87b916888ffffff"", ""driving""]",737.8
"[""87b9168a8ffffff"", ""87b916889ffffff"", ""driving""]",783
"[""87b9168a8ffffff"", ""87b9168f2ffffff"", ""driving""]",776.5
"[""87b9168a8ffffff"", ""87b9168f0ffffff"", ""driving""]",2232.7
"[""87b9168a8ffffff"", ""87b9168f5ffffff"", ""driving""]",1142.1
"[""87b9168a8ffffff"", ""87b916818ffffff"", ""driving""]",614
"[""87b9168a8ffffff"", ""87b91681cffffff"", ""driving""]",762.6
"[""87b9168a8ffffff"", ""87b916811ffffff"", ""driving""]",760.5
"[""87b9168a8ffffff"", ""87b916810ffffff"", ""driving""]",689.9
"[""87b9168a8ffffff"", ""87b916816ffffff"", ""driving""]",779.1
"[""87b91459effffff"", ""87b914593ffffff"", ""driving""]",402
"[""87b91459effffff"", ""87b91696dffffff"", ""driving""]",1237.3
"[""87b91459effffff"", ""87b91459affffff"", ""driving""]",1025.7
"[""87b91459effffff"", ""87b914598ffffff"", ""driving""]",192.2
"[""87b91459effffff"", ""87b91459cffffff"", ""driving""]",413.2
"[""87b91459effffff"", ""87b914591ffffff"", ""driving""]",459.1
