Address,URL,Lat,Lon
"1301/297 Pirie Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146967396,-34.9254031,138.6106183
"603/88 Frome Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146967388,-34.9242886,138.6083355
"402/31 Frew Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146967372,-34.9319474,138.5987986
"3302/19 Frome Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146631452,-34.9217717,138.6078214
"114 East Terrace, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-143886020,-34.926897,138.6133819
"114 Gray Street, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-146919188,-34.925951,138.5898041
"16 Alfred Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147235336,-34.9315006,138.5888071
"10/29 Moore Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147235072,-34.9309469,138.6029254
"207/211 Grenfell Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147084144,-34.9242944,138.6087913
"2108/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145399896,-34.9221441,138.6049323
"71 South Terrace, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147228292,-34.9357676,138.5935871
"302/21-39 Bentham Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146472932,-34.9270342,138.5976084
"1206/297 Pirie Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147155120,-34.9258528,138.6106687
"417/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-studio-sa-adelaide-147223620,-34.9258095,138.5884654
"20-22 McLaren Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147223576,-34.9315578,138.6093106
"801/271-281 Gouger Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147223484,-34.9308758,138.5889413
"66A Vinrace Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147157432,-34.9352485,138.5911575
"606/180 Franklin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146955604,-34.9273249,138.5923927
